Word,Label
HPI:,O
*****,O
***,O
*****,O
"(********),",O
84,O
y.o.,O
year,O
old,O
female,O
from,O
CLACKAMAS,O
:,O
Patient,O
presents,O
with:,O
Medical,O
Eye,O
Examination,O
Follow,O
up,O
visit,O
Vision,O
has,O
been,O
stable,O
since,O
last,O
visit.,O
Using,B-DRUG USE
latanoprost,B-DRUG
OU,B-ROUTE
Qhs.,B-FREQUENCY
Last,O
dose,O
Latanoprost,B-DRUG
**/**/****,O
9PM,O
OU,B-ROUTE
68,O
y.o.,O
male,O
former,O
pt,O
of,O
Dr.,O
******,O
,O
,O
transfer,O
of,O
Care,O
2,O
month,O
f/u,O
Impression:,O
Excellent,O
IOP,O
,O
,O
Tolerating,B-ADHERENCE
drops,I-ADHERENCE
Blepharitis,O
improved,O
with,O
nice,O
white,O
************,O
Plan:,O
Continue,O
glaucoma,O
drops,O
as,O
is,O
Advised,O
to,O
continue,O
warm,O
compresses,O
twice,O
a,O
day,O
as,O
ongoing,O
treatment,O
Review:,O
3,O
4,O
month,O
f/u,O
Current,B-DRUG USE
Ocular,I-DRUG USE
Meds:,I-DRUG USE
Timolol,B-DRUG
qAM,B-FREQUENCY
OU,B-ROUTE
,O
,O
7:00AM,O
Latanoprost,B-DRUG
qhs,B-DOSAGE
OU,B-ROUTE
,O
,O
11:00PM,O
Refresh,B-DRUG
Plus,I-DRUG
prn,B-FREQUENCY
OU,B-ROUTE
Lid,O
Scrubs,O
*****,O
***,O
*********,O
Progress,O
Note,O
*/**/****,O
CC:,O
Medical,O
Eye,O
Examination,O
HPI:,O
*******,O
*******,O
*********,O
is,O
a,O
86,O
y.o.,O
male,O
***,O
pt,O
here,O
for,O
IOP,O
check/Gonio,O
Pt,O
co,O
that,O
a,O
few,O
weeks,O
ago,O
his,O
eyes,O
were,O
"red,",O
burning,O
and,O
watering.,O
Burning,O
has,O
resolved,O
but,O
his,O
eyes,O
feel,O
irritated,O
if,O
there,O
is,O
any,O
air,O
movement.,O
OU,B-ROUTE
still,O
water,O
off,O
and,O
on.,O
********,O
prism,O
OD,B-ROUTE
is,O
very,O
hazy,O
now,O
and,O
making,O
va,O
worse,O
.,O
Pt,O
wondering,O
if,O
he,O
can,O
get,O
his,O
lenses,O
made,O
now.,O
Ocular,B-DRUG USE
Meds:,I-DRUG USE
Ocusoft,O
lid,O
scrub,O
"QAM,",B-FREQUENCY
OU,B-ROUTE
Brimonidine,B-DRUG
"BID,",B-FREQUENCY
OU,B-ROUTE
Cosopt,B-DRUG
"BID,",B-FREQUENCY
OU,B-ROUTE
Latanoprost,B-DRUG
"QHS,",B-FREQUENCY
OU,B-ROUTE
Chief,O
Complaint:,O
Post,O
Op,O
History,O
of,O
Present,O
Illness:,O
********,O
*,O
******,O
is,O
a,O
76,O
y.o.,O
female,O
Post,O
op,O
ck,O
,O
,O
Bilateral,O
pseudo,O
******,O
,O
,O
tapered,O
all,O
post,O
op,O
drops,O
Good,O
distance,O
vision.,O
